2026-06-09 16:40:13.781913 [info] : [RPC-TIMING] id=0 CoreX.rpc.MathService.Add | deserialize:3us route:0us business:8us send:36us | total:47us
2026-06-09 16:40:13.782024 [info] : [RPC-TIMING] id=1 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:3us send:17us | total:22us
2026-06-09 16:40:13.782366 [info] : [RPC-TIMING] id=2 CoreX.rpc.MathService.Add | deserialize:6us route:0us business:7us send:50us | total:63us
2026-06-09 16:40:13.782576 [info] : [RPC-TIMING] id=3 CoreX.rpc.MathService.Add | deserialize:3us route:0us business:4us send:17us | total:24us
2026-06-09 16:40:13.782631 [info] : [RPC-TIMING] id=4 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:1us send:12us | total:15us
2026-06-09 16:40:13.782728 [info] : [RPC-TIMING] id=5 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:13us | total:16us
2026-06-09 16:40:13.782773 [info] : [RPC-TIMING] id=6 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:11us | total:13us
2026-06-09 16:40:13.782868 [info] : [RPC-TIMING] id=7 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:13us | total:16us
2026-06-09 16:40:13.782912 [info] : [RPC-TIMING] id=8 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:12us | total:14us
2026-06-09 16:40:13.783004 [info] : [RPC-TIMING] id=9 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:1us send:13us | total:16us
2026-06-09 16:40:13.783048 [info] : [RPC-TIMING] id=10 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:1us send:11us | total:13us
2026-06-09 16:40:13.783144 [info] : [RPC-TIMING] id=11 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:12us | total:15us
2026-06-09 16:40:13.783183 [info] : [RPC-TIMING] id=12 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:11us | total:13us
2026-06-09 16:40:13.783271 [info] : [RPC-TIMING] id=13 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:13us | total:16us
2026-06-09 16:40:13.783314 [info] : [RPC-TIMING] id=14 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:12us | total:14us
2026-06-09 16:40:13.783414 [info] : [RPC-TIMING] id=15 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:12us | total:15us
2026-06-09 16:40:13.783459 [info] : [RPC-TIMING] id=16 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:1us send:7us | total:10us
2026-06-09 16:40:13.783552 [info] : [RPC-TIMING] id=17 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:8us | total:11us
2026-06-09 16:40:13.783588 [info] : [RPC-TIMING] id=18 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:7us | total:9us
2026-06-09 16:40:13.783678 [info] : [RPC-TIMING] id=19 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:8us | total:11us
2026-06-09 16:40:13.783713 [info] : [RPC-TIMING] id=20 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:7us | total:9us
2026-06-09 16:40:13.783806 [info] : [RPC-TIMING] id=21 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:8us | total:10us
2026-06-09 16:40:13.783841 [info] : [RPC-TIMING] id=22 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:7us | total:9us
2026-06-09 16:40:13.783931 [info] : [RPC-TIMING] id=23 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:8us | total:11us
2026-06-09 16:40:13.783966 [info] : [RPC-TIMING] id=24 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:7us | total:9us
2026-06-09 16:40:13.784056 [info] : [RPC-TIMING] id=25 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:40:13.784091 [info] : [RPC-TIMING] id=26 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:7us | total:9us
2026-06-09 16:40:13.784180 [info] : [RPC-TIMING] id=27 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
