2026-06-09 16:26:50.238009 [info] : [RPC-TIMING] id=0 CoreX.rpc.MathService.Add | deserialize:5us route:1us business:14us send:45us | total:65us
2026-06-09 16:26:50.238153 [info] : [RPC-TIMING] id=1 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:3us send:11us | total:16us
2026-06-09 16:26:50.238596 [info] : [RPC-TIMING] id=2 CoreX.rpc.MathService.Add | deserialize:3us route:0us business:5us send:40us | total:48us
2026-06-09 16:26:50.238782 [info] : [RPC-TIMING] id=3 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:2us send:15us | total:19us
2026-06-09 16:26:50.238957 [info] : [RPC-TIMING] id=4 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:2us send:15us | total:19us
2026-06-09 16:26:50.239115 [info] : [RPC-TIMING] id=5 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:1us send:15us | total:18us
2026-06-09 16:26:50.239276 [info] : [RPC-TIMING] id=6 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:1us send:15us | total:18us
2026-06-09 16:26:50.239453 [info] : [RPC-TIMING] id=7 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:2us send:16us | total:20us
2026-06-09 16:26:50.239612 [info] : [RPC-TIMING] id=8 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:1us send:16us | total:19us
2026-06-09 16:26:50.239773 [info] : [RPC-TIMING] id=9 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:1us send:15us | total:18us
2026-06-09 16:26:50.239939 [info] : [RPC-TIMING] id=10 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:15us | total:18us
2026-06-09 16:26:50.240003 [info] : [RPC-TIMING] id=11 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:14us | total:16us
2026-06-09 16:26:50.240163 [info] : [RPC-TIMING] id=12 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:1us send:15us | total:18us
2026-06-09 16:26:50.240230 [info] : [RPC-TIMING] id=13 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:1us send:14us | total:17us
2026-06-09 16:26:50.240433 [info] : [RPC-TIMING] id=14 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:1us send:16us | total:19us
2026-06-09 16:26:50.240623 [info] : [RPC-TIMING] id=15 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:2us send:44us | total:48us
2026-06-09 16:26:50.240691 [info] : [RPC-TIMING] id=16 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:9us | total:12us
2026-06-09 16:26:50.240864 [info] : [RPC-TIMING] id=17 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:11us | total:14us
2026-06-09 16:26:50.240934 [info] : [RPC-TIMING] id=18 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:9us | total:12us
