2026-06-09 16:12:16.554847 [info] : [RPC-TIMING] id=50000 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:10us | total:12us
2026-06-09 16:12:16.554878 [info] : [RPC-TIMING] id=50001 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:8us | total:10us
2026-06-09 16:12:16.555008 [info] : [RPC-TIMING] id=50002 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:3us send:11us | total:15us
2026-06-09 16:12:16.555068 [info] : [RPC-TIMING] id=50003 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:10us | total:12us
2026-06-09 16:12:16.555191 [info] : [RPC-TIMING] id=50004 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:2us send:12us | total:16us
2026-06-09 16:12:16.555228 [info] : [RPC-TIMING] id=50005 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:10us | total:12us
2026-06-09 16:12:16.555276 [info] : [RPC-TIMING] id=50006 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:10us | total:12us
2026-06-09 16:12:16.555307 [info] : [RPC-TIMING] id=50007 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:10us | total:12us
2026-06-09 16:12:16.555338 [info] : [RPC-TIMING] id=50008 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:12:16.555369 [info] : [RPC-TIMING] id=50009 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:12:16.555400 [info] : [RPC-TIMING] id=50010 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:10us | total:11us
2026-06-09 16:12:16.555429 [info] : [RPC-TIMING] id=50011 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:8us | total:10us
2026-06-09 16:12:16.555491 [info] : [RPC-TIMING] id=50012 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:10us | total:12us
2026-06-09 16:12:16.555524 [info] : [RPC-TIMING] id=50013 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:10us | total:11us
2026-06-09 16:12:16.555554 [info] : [RPC-TIMING] id=50014 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:8us | total:10us
2026-06-09 16:12:16.555611 [info] : [RPC-TIMING] id=50015 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:10us | total:12us
2026-06-09 16:12:16.555645 [info] : [RPC-TIMING] id=50016 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:10us | total:11us
2026-06-09 16:12:16.555674 [info] : [RPC-TIMING] id=50017 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:9us | total:10us
