2026-06-09 16:41:56.917408 [info] : [RPC-TIMING] id=281474976733899 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:7us | total:9us
2026-06-09 16:41:56.917427 [info] : [RPC-TIMING] id=281474976733900 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:7us | total:9us
2026-06-09 16:41:56.917583 [info] : [RPC-TIMING] id=281474976733901 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:2us send:10us | total:14us
2026-06-09 16:41:56.917625 [info] : [RPC-TIMING] id=281474976733902 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:11us | total:13us
2026-06-09 16:41:56.917558 [info] : [RPC-TIMING] id=25758 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:215us | total:217us
2026-06-09 16:41:56.917657 [info] : [RPC-TIMING] id=281474976733903 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:41:56.917684 [info] : [RPC-TIMING] id=281474976733904 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:41:56.917709 [info] : [RPC-TIMING] id=281474976733905 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:9us | total:10us
2026-06-09 16:41:56.917736 [info] : [RPC-TIMING] id=25759 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:58us | total:61us
2026-06-09 16:41:56.917745 [info] : [RPC-TIMING] id=281474976733906 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:10us | total:12us
2026-06-09 16:41:56.917786 [info] : [RPC-TIMING] id=281474976733907 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:10us | total:12us
2026-06-09 16:41:56.917817 [info] : [RPC-TIMING] id=281474976733908 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:41:56.917842 [info] : [RPC-TIMING] id=281474976733909 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:9us | total:10us
2026-06-09 16:41:56.917863 [info] : [RPC-TIMING] id=25760 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:17us send:63us | total:81us
