2026-06-09 16:43:57.790847 [info] : [RPC-TIMING] id=562949953445834 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:1us send:18us | total:21us
2026-06-09 16:43:57.790889 [info] : [RPC-TIMING] id=562949953445835 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791041 [info] : [RPC-TIMING] id=562949953445836 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:2us send:23us | total:27us
2026-06-09 16:43:57.791083 [info] : [RPC-TIMING] id=562949953445837 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791146 [info] : [RPC-TIMING] id=562949953445838 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:24us | total:26us
2026-06-09 16:43:57.791187 [info] : [RPC-TIMING] id=562949953445839 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791229 [info] : [RPC-TIMING] id=562949953445840 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791270 [info] : [RPC-TIMING] id=562949953445841 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791324 [info] : [RPC-TIMING] id=562949953445842 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:14us send:19us | total:34us
2026-06-09 16:43:57.791367 [info] : [RPC-TIMING] id=562949953445843 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791407 [info] : [RPC-TIMING] id=562949953445844 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:0us send:19us | total:21us
2026-06-09 16:43:57.791448 [info] : [RPC-TIMING] id=562949953445845 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791486 [info] : [RPC-TIMING] id=562949953445846 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:19us | total:20us
2026-06-09 16:43:57.791526 [info] : [RPC-TIMING] id=562949953445847 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791567 [info] : [RPC-TIMING] id=562949953445848 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791608 [info] : [RPC-TIMING] id=562949953445849 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791654 [info] : [RPC-TIMING] id=562949953445850 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:24us | total:26us
2026-06-09 16:43:57.791695 [info] : [RPC-TIMING] id=562949953445851 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791735 [info] : [RPC-TIMING] id=562949953445852 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791776 [info] : [RPC-TIMING] id=562949953445853 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791816 [info] : [RPC-TIMING] id=562949953445854 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791857 [info] : [RPC-TIMING] id=562949953445855 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791898 [info] : [RPC-TIMING] id=562949953445856 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:18us | total:20us
2026-06-09 16:43:57.791939 [info] : [RPC-TIMING] id=562949953445857 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.791982 [info] : [RPC-TIMING] id=562949953445858 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:20us | total:22us
2026-06-09 16:43:57.792024 [info] : [RPC-TIMING] id=562949953445859 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:1us send:18us | total:20us
2026-06-09 16:43:57.792064 [info] : [RPC-TIMING] id=562949953445860 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.792116 [info] : [RPC-TIMING] id=562949953445861 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.792162 [info] : [RPC-TIMING] id=562949953445862 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:24us | total:26us
2026-06-09 16:43:57.792203 [info] : [RPC-TIMING] id=562949953445863 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.792244 [info] : [RPC-TIMING] id=562949953445864 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.792285 [info] : [RPC-TIMING] id=562949953445865 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.792342 [info] : [RPC-TIMING] id=562949953445866 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:1us send:19us | total:21us
2026-06-09 16:43:57.792383 [info] : [RPC-TIMING] id=562949953445867 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:18us | total:20us
2026-06-09 16:43:57.792421 [info] : [RPC-TIMING] id=562949953445868 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.792461 [info] : [RPC-TIMING] id=562949953445869 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
2026-06-09 16:43:57.792504 [info] : [RPC-TIMING] id=562949953445870 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:20us | total:21us
2026-06-09 16:43:57.792544 [info] : [RPC-TIMING] id=562949953445871 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:19us | total:21us
