2026-06-09 16:41:55.023956 [info] : [RPC-TIMING] id=0 CoreX.rpc.MathService.Add | deserialize:3us route:1us business:8us send:31us | total:43us
2026-06-09 16:41:55.024065 [info] : [RPC-TIMING] id=1 CoreX.rpc.MathService.Add | deserialize:2us route:1us business:3us send:15us | total:21us
2026-06-09 16:41:55.024411 [info] : [RPC-TIMING] id=2 CoreX.rpc.MathService.Add | deserialize:5us route:0us business:7us send:64us | total:76us
2026-06-09 16:41:55.024634 [info] : [RPC-TIMING] id=3 CoreX.rpc.MathService.Add | deserialize:2us route:1us business:5us send:21us | total:29us
2026-06-09 16:41:55.024691 [info] : [RPC-TIMING] id=4 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:1us send:12us | total:15us
2026-06-09 16:41:55.024792 [info] : [RPC-TIMING] id=5 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:1us send:14us | total:17us
2026-06-09 16:41:55.024836 [info] : [RPC-TIMING] id=6 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:12us | total:14us
2026-06-09 16:41:55.024933 [info] : [RPC-TIMING] id=7 CoreX.rpc.MathService.Add | deserialize:2us route:3us business:1us send:13us | total:19us
2026-06-09 16:41:55.024973 [info] : [RPC-TIMING] id=8 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:11us | total:13us
2026-06-09 16:41:55.025064 [info] : [RPC-TIMING] id=9 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:12us | total:15us
2026-06-09 16:41:55.025100 [info] : [RPC-TIMING] id=10 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:10us | total:12us
2026-06-09 16:41:55.025195 [info] : [RPC-TIMING] id=11 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:1us send:13us | total:16us
2026-06-09 16:41:55.025234 [info] : [RPC-TIMING] id=12 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:1us send:10us | total:12us
2026-06-09 16:41:55.025322 [info] : [RPC-TIMING] id=13 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:13us | total:16us
2026-06-09 16:41:55.025358 [info] : [RPC-TIMING] id=14 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:11us | total:13us
2026-06-09 16:41:55.025463 [info] : [RPC-TIMING] id=15 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:1us send:13us | total:16us
2026-06-09 16:41:55.025507 [info] : [RPC-TIMING] id=16 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:0us send:8us | total:10us
2026-06-09 16:41:55.025601 [info] : [RPC-TIMING] id=17 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:41:55.025638 [info] : [RPC-TIMING] id=18 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:7us | total:9us
2026-06-09 16:41:55.025729 [info] : [RPC-TIMING] id=19 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:41:55.025765 [info] : [RPC-TIMING] id=20 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:8us | total:9us
2026-06-09 16:41:55.025856 [info] : [RPC-TIMING] id=21 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:41:55.025892 [info] : [RPC-TIMING] id=22 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:7us | total:9us
2026-06-09 16:41:55.025983 [info] : [RPC-TIMING] id=23 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:41:55.026029 [info] : [RPC-TIMING] id=24 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:8us | total:10us
2026-06-09 16:41:55.026150 [info] : [RPC-TIMING] id=25 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:41:55.026185 [info] : [RPC-TIMING] id=26 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:7us | total:9us
