2026-06-11 22:05:19.101393 [info] : [RpcServer] IPC fast-path enabled on shm '/corex_rpc_ipc'
2026-06-11 22:05:19.205346 [info] : [RPC-TIMING] id=0 CoreX.rpc.MathService.Add | deserialize:6us route:1us business:18us send:5us | total:30us
2026-06-11 22:05:19.216107 [info] : [RPC-TIMING] id=1 CoreX.rpc.MathService.Add | deserialize:2us route:2us business:9us send:4us | total:17us
2026-06-11 22:05:19.216294 [info] : [RPC-TIMING] id=2 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:3us send:4us | total:8us
2026-06-11 22:05:19.216332 [info] : [RPC-TIMING] id=3 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:2us | total:3us
2026-06-11 22:05:19.216355 [info] : [RPC-TIMING] id=4 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:2us | total:3us
2026-06-11 22:05:19.216376 [info] : [RPC-TIMING] id=5 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:2us | total:3us
2026-06-11 22:05:19.216396 [info] : [RPC-TIMING] id=6 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:1us | total:3us
2026-06-11 22:05:19.216418 [info] : [RPC-TIMING] id=7 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:1us | total:3us
2026-06-11 22:05:19.216549 [info] : [RPC-TIMING] id=8 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:2us | total:4us
2026-06-11 22:05:19.216569 [info] : [RPC-TIMING] id=9 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:1us | total:2us
2026-06-11 22:05:19.216592 [info] : [RPC-TIMING] id=10 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:2us | total:3us
2026-06-11 22:05:19.216612 [info] : [RPC-TIMING] id=11 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:2us | total:3us
2026-06-11 22:05:19.216657 [info] : [RPC-TIMING] id=12 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:1us | total:3us
2026-06-11 22:05:19.216678 [info] : [RPC-TIMING] id=13 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:2us | total:3us
2026-06-11 22:05:19.216695 [info] : [RPC-TIMING] id=14 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:1us | total:2us
2026-06-11 22:05:19.216715 [info] : [RPC-TIMING] id=15 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:1us | total:2us
2026-06-11 22:05:19.216775 [info] : [RPC-TIMING] id=16 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:1us | total:3us
2026-06-11 22:05:19.216795 [info] : [RPC-TIMING] id=17 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:1us | total:2us
2026-06-11 22:05:19.217079 [info] : [RPC-TIMING] id=18 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:3us send:4us | total:8us
2026-06-11 22:05:19.217975 [info] : [RPC-TIMING] id=19 CoreX.rpc.MathService.Add | deserialize:2us route:3us business:13us send:5us | total:23us
2026-06-11 22:05:19.218150 [info] : [RPC-TIMING] id=20 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:5us send:3us | total:10us
2026-06-11 22:05:19.218181 [info] : [RPC-TIMING] id=21 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:1us | total:2us
2026-06-11 22:05:19.218199 [info] : [RPC-TIMING] id=22 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:1us | total:3us
2026-06-11 22:05:19.218220 [info] : [RPC-TIMING] id=23 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:2us | total:3us
2026-06-11 22:05:19.218240 [info] : [RPC-TIMING] id=24 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:2us | total:4us
2026-06-11 22:05:19.218305 [info] : [RPC-TIMING] id=25 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:1us | total:3us
2026-06-11 22:05:19.218325 [info] : [RPC-TIMING] id=26 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:1us | total:2us
2026-06-11 22:05:19.218345 [info] : [RPC-TIMING] id=27 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:2us | total:3us
2026-06-11 22:05:19.218363 [info] : [RPC-TIMING] id=28 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:2us | total:3us
2026-06-11 22:05:19.218380 [info] : [RPC-TIMING] id=29 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:1us | total:2us
2026-06-11 22:05:19.218500 [info] : [RPC-TIMING] id=30 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:1us | total:3us
2026-06-11 22:05:19.218530 [info] : [RPC-TIMING] id=31 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:1us | total:2us
2026-06-11 22:05:19.218554 [info] : [RPC-TIMING] id=32 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:1us | total:3us
2026-06-11 22:05:19.218603 [info] : [RPC-TIMING] id=33 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:1us | total:2us
2026-06-11 22:05:19.218622 [info] : [RPC-TIMING] id=34 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:1us | total:2us
2026-06-11 22:05:19.218639 [info] : [RPC-TIMING] id=35 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:1us | total:2us
