2026-06-09 16:26:21.268261 [info] : [RPC-TIMING] id=0 CoreX.rpc.MathService.Add | deserialize:4us route:1us business:11us send:49us | total:65us
2026-06-09 16:26:21.268432 [info] : [RPC-TIMING] id=1 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:5us send:22us | total:29us
2026-06-09 16:26:21.268559 [info] : [RPC-TIMING] id=281474976710656 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:2us send:26us | total:30us
2026-06-09 16:26:21.270820 [info] : [RPC-TIMING] id=2 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:5us send:9us | total:16us
2026-06-09 16:26:21.270966 [info] : [RPC-TIMING] id=3 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:7us | total:10us
2026-06-09 16:26:21.271041 [info] : [RPC-TIMING] id=281474976710657 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:2us send:16us | total:20us
2026-06-09 16:26:21.271074 [info] : [RPC-TIMING] id=281474976710658 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:1us send:11us | total:13us
2026-06-09 16:26:21.271107 [info] : [RPC-TIMING] id=281474976710659 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:26:21.271159 [info] : [RPC-TIMING] id=281474976710660 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:5us | total:6us
2026-06-09 16:26:21.271194 [info] : [RPC-TIMING] id=281474976710661 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 16:26:21.271230 [info] : [RPC-TIMING] id=281474976710662 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:5us | total:6us
2026-06-09 16:26:21.271265 [info] : [RPC-TIMING] id=281474976710663 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:5us | total:7us
2026-06-09 16:26:21.271044 [info] : [RPC-TIMING] id=4 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:5us | total:7us
2026-06-09 16:26:21.271347 [info] : [RPC-TIMING] id=281474976710664 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:2us send:50us | total:52us
2026-06-09 16:26:21.271358 [info] : [RPC-TIMING] id=5 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:13us | total:16us
2026-06-09 16:26:21.271396 [info] : [RPC-TIMING] id=281474976710665 CoreX.rpc.MathService.Add | deserialize:6us route:0us business:1us send:6us | total:13us
2026-06-09 16:26:21.271439 [info] : [RPC-TIMING] id=281474976710666 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:5us | total:7us
2026-06-09 16:26:21.271475 [info] : [RPC-TIMING] id=281474976710667 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:5us | total:6us
2026-06-09 16:26:21.271526 [info] : [RPC-TIMING] id=281474976710668 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:5us | total:7us
2026-06-09 16:26:21.271537 [info] : [RPC-TIMING] id=6 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:12us | total:14us
2026-06-09 16:26:21.271585 [info] : [RPC-TIMING] id=281474976710669 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:5us | total:6us
2026-06-09 16:26:21.271626 [info] : [RPC-TIMING] id=281474976710670 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:6us | total:7us
2026-06-09 16:26:21.271661 [info] : [RPC-TIMING] id=281474976710671 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:5us | total:6us
2026-06-09 16:26:21.271777 [info] : [RPC-TIMING] id=281474976710672 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:81us | total:83us
2026-06-09 16:26:21.271783 [info] : [RPC-TIMING] id=7 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:63us send:30us | total:94us
2026-06-09 16:26:21.271822 [info] : [RPC-TIMING] id=8 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:1us send:11us | total:14us
2026-06-09 16:26:21.271850 [info] : [RPC-TIMING] id=9 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:15us | total:17us
