2026-06-09 16:12:14.313932 [info] : [RPC-TIMING] id=0 CoreX.rpc.MathService.Add | deserialize:3us route:1us business:8us send:26us | total:38us
2026-06-09 16:12:14.314035 [info] : [RPC-TIMING] id=1 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:3us send:18us | total:22us
2026-06-09 16:12:14.314361 [info] : [RPC-TIMING] id=2 CoreX.rpc.MathService.Add | deserialize:5us route:0us business:8us send:46us | total:59us
2026-06-09 16:12:14.314560 [info] : [RPC-TIMING] id=3 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:5us send:30us | total:37us
2026-06-09 16:12:14.314613 [info] : [RPC-TIMING] id=4 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:12us | total:15us
2026-06-09 16:12:14.314703 [info] : [RPC-TIMING] id=5 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:13us | total:15us
2026-06-09 16:12:14.314743 [info] : [RPC-TIMING] id=6 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:11us | total:13us
2026-06-09 16:12:14.314828 [info] : [RPC-TIMING] id=7 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:13us | total:15us
2026-06-09 16:12:14.314866 [info] : [RPC-TIMING] id=8 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:11us | total:13us
2026-06-09 16:12:14.314950 [info] : [RPC-TIMING] id=9 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:1us send:13us | total:16us
2026-06-09 16:12:14.314984 [info] : [RPC-TIMING] id=10 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:10us | total:12us
2026-06-09 16:12:14.315076 [info] : [RPC-TIMING] id=11 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:12us | total:15us
2026-06-09 16:12:14.315110 [info] : [RPC-TIMING] id=12 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:12:14.315195 [info] : [RPC-TIMING] id=13 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:12us | total:15us
2026-06-09 16:12:14.315229 [info] : [RPC-TIMING] id=14 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:12:14.315327 [info] : [RPC-TIMING] id=15 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:12us | total:15us
2026-06-09 16:12:14.315366 [info] : [RPC-TIMING] id=16 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:8us | total:10us
2026-06-09 16:12:14.315452 [info] : [RPC-TIMING] id=17 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:8us | total:10us
2026-06-09 16:12:14.315487 [info] : [RPC-TIMING] id=18 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:12:14.315578 [info] : [RPC-TIMING] id=19 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:1us send:8us | total:11us
2026-06-09 16:12:14.315611 [info] : [RPC-TIMING] id=20 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:5us | total:7us
2026-06-09 16:12:14.315711 [info] : [RPC-TIMING] id=21 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:21us | total:23us
2026-06-09 16:12:14.315810 [info] : [RPC-TIMING] id=22 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:1us send:10us | total:13us
2026-06-09 16:12:14.315844 [info] : [RPC-TIMING] id=23 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:6us | total:7us
2026-06-09 16:12:14.315932 [info] : [RPC-TIMING] id=24 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:1us send:8us | total:11us
2026-06-09 16:12:14.315966 [info] : [RPC-TIMING] id=25 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:12:14.316062 [info] : [RPC-TIMING] id=26 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:8us | total:10us
2026-06-09 16:12:14.316098 [info] : [RPC-TIMING] id=27 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
