2026-06-09 16:11:30.513212 [info] : [RPC-TIMING] id=281474976710656 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:24us | total:27us
2026-06-09 16:11:30.513216 [info] : [RPC-TIMING] id=0 CoreX.rpc.MathService.Add | deserialize:4us route:2us business:11us send:34us | total:51us
2026-06-09 16:11:30.513346 [info] : [RPC-TIMING] id=1 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:1us send:12us | total:15us
2026-06-09 16:11:30.513580 [info] : [RPC-TIMING] id=2 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:3us send:18us | total:23us
2026-06-09 16:11:30.513710 [info] : [RPC-TIMING] id=562949953421312 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:1us send:33us | total:36us
2026-06-09 16:11:30.513908 [info] : [RPC-TIMING] id=281474976710657 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:4us send:28us | total:33us
2026-06-09 16:11:30.513957 [info] : [RPC-TIMING] id=3 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:11us | total:14us
2026-06-09 16:11:30.513963 [info] : [RPC-TIMING] id=562949953421313 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:6us | total:9us
2026-06-09 16:11:30.514020 [info] : [RPC-TIMING] id=562949953421314 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:5us | total:7us
2026-06-09 16:11:30.514055 [info] : [RPC-TIMING] id=562949953421315 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:1us send:4us | total:6us
2026-06-09 16:11:30.514060 [info] : [RPC-TIMING] id=4 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:12us | total:15us
2026-06-09 16:11:30.514093 [info] : [RPC-TIMING] id=562949953421316 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.514124 [info] : [RPC-TIMING] id=5 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:1us send:9us | total:11us
2026-06-09 16:11:30.514171 [info] : [RPC-TIMING] id=6 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:11:30.514251 [info] : [RPC-TIMING] id=7 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:28us | total:30us
2026-06-09 16:11:30.514302 [info] : [RPC-TIMING] id=8 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:10us | total:12us
2026-06-09 16:11:30.514352 [info] : [RPC-TIMING] id=9 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:11:30.514406 [info] : [RPC-TIMING] id=10 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:11:30.514458 [info] : [RPC-TIMING] id=11 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:11:30.514507 [info] : [RPC-TIMING] id=12 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:9us | total:10us
2026-06-09 16:11:30.514556 [info] : [RPC-TIMING] id=13 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:9us | total:10us
2026-06-09 16:11:30.514606 [info] : [RPC-TIMING] id=14 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:11:30.514655 [info] : [RPC-TIMING] id=15 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:9us | total:11us
2026-06-09 16:11:30.514706 [info] : [RPC-TIMING] id=16 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:7us | total:8us
2026-06-09 16:11:30.514756 [info] : [RPC-TIMING] id=17 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.514807 [info] : [RPC-TIMING] id=18 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:7us | total:8us
2026-06-09 16:11:30.514856 [info] : [RPC-TIMING] id=19 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.514911 [info] : [RPC-TIMING] id=20 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:7us | total:8us
2026-06-09 16:11:30.514966 [info] : [RPC-TIMING] id=21 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:7us | total:9us
2026-06-09 16:11:30.515040 [info] : [RPC-TIMING] id=22 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.515090 [info] : [RPC-TIMING] id=23 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.515139 [info] : [RPC-TIMING] id=24 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:6us | total:7us
2026-06-09 16:11:30.515188 [info] : [RPC-TIMING] id=25 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:7us | total:8us
2026-06-09 16:11:30.515248 [info] : [RPC-TIMING] id=26 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:7us | total:8us
2026-06-09 16:11:30.515297 [info] : [RPC-TIMING] id=27 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:7us | total:8us
2026-06-09 16:11:30.515347 [info] : [RPC-TIMING] id=28 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:7us | total:8us
2026-06-09 16:11:30.515400 [info] : [RPC-TIMING] id=29 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.515428 [info] : [RPC-TIMING] id=562949953421317 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:1us send:7us | total:10us
2026-06-09 16:11:30.515454 [info] : [RPC-TIMING] id=30 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:7us | total:9us
2026-06-09 16:11:30.515500 [info] : [RPC-TIMING] id=31 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:7us | total:8us
2026-06-09 16:11:30.515553 [info] : [RPC-TIMING] id=32 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:6us | total:7us
2026-06-09 16:11:30.515602 [info] : [RPC-TIMING] id=33 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:7us | total:8us
2026-06-09 16:11:30.515651 [info] : [RPC-TIMING] id=34 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:6us | total:7us
2026-06-09 16:11:30.515700 [info] : [RPC-TIMING] id=35 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:6us | total:7us
2026-06-09 16:11:30.515749 [info] : [RPC-TIMING] id=36 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.515798 [info] : [RPC-TIMING] id=37 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.515847 [info] : [RPC-TIMING] id=38 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:7us | total:8us
2026-06-09 16:11:30.515901 [info] : [RPC-TIMING] id=39 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:7us | total:9us
2026-06-09 16:11:30.515960 [info] : [RPC-TIMING] id=40 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.516009 [info] : [RPC-TIMING] id=41 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.516057 [info] : [RPC-TIMING] id=42 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:7us | total:8us
2026-06-09 16:11:30.516106 [info] : [RPC-TIMING] id=43 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.516154 [info] : [RPC-TIMING] id=44 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:7us | total:8us
2026-06-09 16:11:30.516203 [info] : [RPC-TIMING] id=45 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.516260 [info] : [RPC-TIMING] id=46 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:7us | total:8us
2026-06-09 16:11:30.516309 [info] : [RPC-TIMING] id=47 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.516358 [info] : [RPC-TIMING] id=48 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:6us | total:7us
2026-06-09 16:11:30.516411 [info] : [RPC-TIMING] id=49 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:7us | total:8us
2026-06-09 16:11:30.516471 [info] : [RPC-TIMING] id=50 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.516521 [info] : [RPC-TIMING] id=51 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:7us | total:8us
2026-06-09 16:11:30.516571 [info] : [RPC-TIMING] id=52 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:7us | total:8us
2026-06-09 16:11:30.516647 [info] : [RPC-TIMING] id=53 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:7us | total:8us
2026-06-09 16:11:30.516697 [info] : [RPC-TIMING] id=54 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.516745 [info] : [RPC-TIMING] id=55 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.516796 [info] : [RPC-TIMING] id=56 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:7us | total:8us
2026-06-09 16:11:30.516846 [info] : [RPC-TIMING] id=57 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:7us | total:8us
2026-06-09 16:11:30.516901 [info] : [RPC-TIMING] id=58 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:7us | total:8us
2026-06-09 16:11:30.516950 [info] : [RPC-TIMING] id=59 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:7us | total:8us
2026-06-09 16:11:30.517000 [info] : [RPC-TIMING] id=60 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:7us | total:8us
2026-06-09 16:11:30.517049 [info] : [RPC-TIMING] id=61 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.517098 [info] : [RPC-TIMING] id=62 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
2026-06-09 16:11:30.517147 [info] : [RPC-TIMING] id=63 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:6us | total:8us
